chara_id,kanji,translated,translated_cht
1,千川ちひろ,千川千寻,千川千尋
2,千川ちひろ,千川千寻,千川千尋
3,エトセトラ,etcetra,etcetra
18,ぴにゃこら太,,
19,うさぎ,,
20,千川ちひろ,千川千寻,千川千尋
101,島村卯月,岛村卯月,
102,中野有香,,
103,水本ゆかり,水本紫,
104,福山舞,,
105,椎名法子,,
106,今井加奈,,
107,持田亜里沙,持田亚里沙,持田亞里沙
108,三村かな子,三村加奈子,三村加奈子
109,奥山沙織,奥山沙织,奧山沙織
111,小日向美穂,小日向美穗,
112,緒方智絵里,绪方智绘里,
113,五十嵐響子,五十岚响子,
115,櫻井桃華,樱井桃华,
118,横山千佳,橫山千佳,
119,関裕美,关裕美,關裕美
120,太田優,太田优,
121,棟方愛海,栋方爱海,
122,藤本里奈,,
123,大原みちる,大原满,大原滿
126,一ノ瀬志希,一之濑志希,一之瀨志希
127,前川みく,前川未来,前川未來
129,松原早耶,,
131,宮本フレデリカ,宫本芙蕾德莉卡,宮本芙蕾德莉卡
132,小早川紗枝,小早川纱枝,
133,西園寺琴歌,西园寺琴歌,
134,双葉杏,双叶杏,雙葉杏
135,楊菲菲,杨菲菲,
136,桃井あずき,桃井小豆,
138,月宮雅,月宫雅,
139,兵藤レナ,兵藤丽奈,兵藤麗奈
141,道明寺歌鈴,道明寺歌铃,
147,井村雪菜,,
149,榊原里美,,
150,輿水幸子,舆水幸子,
153,大西由里子,,
154,安部菜々,安部菜菜,
155,工藤忍,,
156,栗原ネネ,栗原宁宁,
158,クラリス,克拉莉丝,克拉莉絲
159,佐久間まゆ,佐久间麻由,佐久間麻由
160,村松さくら,村松樱,村松櫻
161,白菊ほたる,白菊萤,白菊螢
162,早坂美玲,,
163,有浦柑奈,,
164,乙倉悠貴,乙仓悠贵,
165,原田美世,,
167,渋谷凛,涩谷凛,澀谷凛
168,黒川千秋,黑川千秋,
169,松本沙理奈,,
171,高橋礼子,高桥礼子,高橋禮子
172,相川千夏,,
173,川島瑞樹,川岛瑞树,
174,神谷奈緒,神谷奈绪,
175,上条春菜,,
176,荒木比奈,,
177,東郷あい,东乡爱,東鄉愛
178,多田李衣菜,,
179,水木聖來,水木圣来,
180,佐々木千枝,佐佐木千枝,
181,三船美優,三船美优,
183,木場真奈美,木场真奈美,
184,藤原肇,,
185,新田美波,,
186,水野翠,,
188,橘ありす,橘爱丽丝,橘愛麗絲
189,鷺沢文香,鹭泽文香,鷺澤文香
190,八神マキノ,八神牧野,
191,ライラ,莱拉,萊拉
192,浅利七海,,淺利七海
194,松永涼,松永凉,
197,高垣楓,高垣枫,
198,神崎蘭子,神崎兰子,
201,北条加蓮,北条加莲,
202,ケイト,凯特,凱特
204,綾瀬穂乃香,绫濑穗乃香,綾瀨穗乃香
205,佐城雪美,,
210,篠原礼,,篠原禮
211,和久井留美,,
212,吉岡沙紀,吉冈沙纪,
213,梅木音葉,梅木音叶,
214,白坂小梅,,
216,氏家むつみ,氏家睦,
218,成宮由愛,成宫由爱,
219,藤居朋,,
220,塩見周子,盐见周子,鹽見周子
221,脇山珠美,胁山珠美,脅山珠美
222,岡崎泰葉,冈崎泰叶,
223,速水奏,,
224,大石泉,,
226,森久保乃々,森久保乃乃,
227,アナスタシア,安娜斯塔西娅,安娜斯塔西婭
228,大和亜季,大和亚季,大和亞季
229,結城晴,结城晴,
230,二宮飛鳥,二宫飞鸟,
234,本田未央,,
235,高森藍子,高森蓝子,
236,並木芽衣子,并木芽衣子,
237,龍崎薫,龙崎薰,龍崎薰
238,木村夏樹,木村夏树,
239,松山久美子,,
240,斉藤洋子,齐藤洋子,齊藤洋子
242,矢口美羽,,
243,赤城みりあ,赤城米莉亚,赤城米莉亞
244,愛野渚,爱野渚,
246,大槻唯,大槻唯,
247,姫川友紀,姫川友纪,
249,喜多見柚,喜多见柚,
250,上田鈴帆,上田铃帆,
253,及川雫,,
255,衛藤美紗希,卫藤美纱希,
254,小関麗奈,小关丽奈,小関麗奈
256,星輝子,星辉子,
257,片桐早苗,,
258,堀裕子,,
259,西島櫂,西岛櫂,
260,的場梨沙,的场梨沙,
262,依田芳乃,,
263,相葉夕美,相叶夕美,
266,若林智香,,
267,城ヶ崎美嘉,城崎美嘉,
268,城ヶ崎莉嘉,城崎莉嘉,
269,仙崎恵磨,仙崎惠磨,
270,日野茜,日野茜,
271,諸星きらり,诸星琪拉莉,諸星琪拉莉
272,十時愛梨,十时爱梨,
273,ナターリア,娜塔莉亚,娜塔莉亞
275,槙原志保,,
280,向井拓海,,
283,市原仁奈,,
284,喜多日菜子,,
285,杉坂海,,
286,北川真尋,北川真寻,
287,メアリー・コクラン,玛丽·柯克兰,瑪麗·柯克蘭
288,小松伊吹,,
289,三好紗南,三好纱南,
291,難波笑美,难波笑美,
292,浜口あやめ,滨口菖蒲,濱口菖蒲
293,村上巴,,
294,土屋亜子,土屋亚子,土屋亞子
295,首藤葵,,
999,エトセトラ,etcetra,etcetra
-1,here,we,go
-1001,相原雪乃,,
-1002,赤西瑛梨華,赤西瑛梨华,
-1003,浅野風香,浅野风香,淺野風香
-1004,安斎都,安斋都,安齋都
-1005,池袋晶叶,池袋晶葉,
-1006,江上椿,,
-1007,大沼くるみ,大沼胡桃,
-1008,日下部若叶,日下部若葉,
-1009,古贺小春,古賀小春,
-1010,涼宮星花,凉宫星花,
-1011,長富蓮実,长富莲实,長富蓮實
-1012,丹羽仁美,,
-1013,間中美里,间中美里,
-1014,柳清良,,
-1015,柳瀬美由紀,柳濑美由纪,柳瀨美由紀
-1016,遊佐こずえ,游佐梢,遊佐梢
-2001,伊集院惠,伊集院恵,
-2002,岸部彩华,岸部彩華,
-2003,桐野アヤ,桐野绫,桐野綾
-2004,桐生つかさ,桐生司,
-2005,小室千奈美,,
-2006,瀬名詩織,濑名诗织,瀨名詩織
-2007,鹰富士茄子,鷹富士茄子,
-2008,高峯のあ,高峰诺亚,高峯諾亞
-2009,西川保奈美,,
-2010,服部瞳子,,
-2011,柊志乃,,
-2012,古澤頼子,古泽赖子,古澤賴子
-2013,ヘレン,海伦,海倫
-2014,松尾千鶴,松尾千鹤,
-2015,望月圣,望月聖,
-2016,イヴ・サンタクロース,伊芙·珊德克罗丝,伊芙·珊德克羅絲
-3001,海老原菜帆,,
-3002,キャシー・グラハム,凯蒂·格拉汉姆,凱蒂·格拉漢姆
-3003,財前時子,财前时子,
-3004,冴島清美,冴岛清美,
-3005,佐藤心,,
-3006,沢田麻理菜,泽田麻理菜,
